,Lat,Lng,total_bedrooms,households,median_house_value,ocean_proximity,housing_median_age,Zipcode,City,Population,Income,Labels,counts
20405,34.21,-118.88,196.0,199.0,300000.0,1,26.0,91360,Thousand Oaks,35014,81.49940828,3,0
4815,34.04,-118.29,291.0,290.0,132500.0,1,41.0,90006,Los Angeles,34995,25.23893062,3,0
8210,33.78,-118.18,550.0,434.0,129700.0,2,36.0,90813,Long Beach,34994,25.70800948,3,0
4171,34.1,-118.22,788.0,764.0,252100.0,1,35.0,90065,Los Angeles,34536,51.87289765,3,0
3804,34.2,-118.44,435.0,417.0,241300.0,1,28.0,91405,Van Nuys,34500,34.134054299999995,3,0
5341,34.04,-118.44,7.0,7.0,225000.0,1,49.0,90025,Los Angeles,34463,160.05902030000001,3,0
4797,34.02,-118.35,92.0,116.0,134700.0,1,52.0,90016,Los Angeles,34391,36.65098942,3,0
14602,32.8,-117.16,79.0,80.0,159700.0,2,37.0,92111,San Diego,34112,52.39728486,3,0
17527,37.34,-121.88,625.0,543.0,212500.0,1,40.0,95112,San Jose,34111,55.30250106,3,0
3963,34.2,-118.57,1869.0,1699.0,208000.0,1,18.0,91306,Winnetka,34013,45.30416465,3,0
6229,34.06,-117.94,662.0,622.0,210200.0,1,32.0,91790,West Covina,33820,47.02249377,3,0
12141,33.83,-117.2,230.0,173.0,161300.0,0,14.0,92571,Perris,33736,36.35052632,3,0
5997,34.08,-117.73,265.0,257.0,115200.0,0,33.0,91767,Pomona,33720,38.39710434,3,0
9331,37.97,-122.5,1902.0,1812.0,187500.0,3,25.0,94901,San Rafael,33561,124.1597449,3,0
252,37.77,-122.21,173.0,137.0,80600.0,3,52.0,94601,Oakland,33456,35.00959646,3,0
17768,37.35,-121.85,807.0,776.0,160100.0,1,29.0,95116,San Jose,35357,37.84229231,3,0
11647,33.81,-118.03,567.0,543.0,237400.0,1,26.0,90630,Cypress,41132,71.28519637,3,0
2966,35.34,-119.07,786.0,724.0,134100.0,0,16.0,93309,Bakersfield,40902,53.76284569,3,0
3603,34.23,-118.47,2717.0,2452.0,160000.0,1,22.0,91343,North Hills,41190,44.98348035,3,0
10085,33.94,-117.95,496.0,496.0,264100.0,1,28.0,90631,La Habra,52341,59.86299545,3,0
18947,38.28,-122.0,1191.0,1055.0,161700.0,0,3.0,94533,Fairfield,51145,48.32840873,3,0
11211,33.82,-117.91,640.0,626.0,184600.0,1,32.0,92805,Anaheim,50587,37.11784646,3,0
18446,37.23,-121.82,584.0,580.0,291500.0,1,23.0,95123,San Jose,50481,75.82483333,3,0
10369,33.64,-117.67,554.0,508.0,164100.0,1,11.0,92630,Lake Forest,50173,69.01020477,3,0
13136,38.47,-121.44,223.0,233.0,95900.0,0,16.0,95823,Sacramento,50088,32.93383978,3,0
9698,36.67,-121.61,821.0,793.0,119200.0,1,39.0,93905,Salinas,49791,30.15173524,3,0
16786,37.67,-122.47,992.0,1002.0,304300.0,2,20.0,94015,Daly City,49650,60.14492288,3,0
10926,33.74,-117.89,365.0,347.0,158400.0,1,32.0,92703,Santa Ana,48715,28.79977819,3,0
6942,33.98,-118.08,282.0,270.0,165800.0,1,36.0,90660,Pico Rivera,48568,39.57523264,3,0
10859,33.71,-117.87,686.0,621.0,155500.0,1,16.0,92707,Santa Ana,48517,35.49829819,3,0
14825,32.67,-117.09,332.0,306.0,117000.0,2,37.0,91950,National City,41162,33.32220874,3,0
13390,34.09,-117.58,200.0,185.0,100800.0,0,27.0,91730,Rancho Cucamonga,48152,52.81760082,3,0
7468,33.92,-118.2,314.0,322.0,138800.0,1,42.0,90262,Lynwood,47895,30.11636228,3,0
11430,33.66,-117.97,600.0,607.0,281500.0,1,22.0,92646,Huntington Beach,47363,83.96937098,3,0
11976,33.99,-117.44,1517.0,1492.0,171300.0,0,12.0,92509,Riverside,53031,39.465856099999996,3,0
15900,37.74,-122.41,382.0,354.0,270800.0,3,38.0,94110,San Francisco,53093,92.42338422,3,0
16813,37.65,-122.42,894.0,887.0,239800.0,2,39.0,94080,South San Francisco,53242,70.97651834,3,0
10515,33.53,-117.7,1254.0,1139.0,288500.0,1,5.0,92677,Laguna Niguel,53608,115.4475325,3,0
3443,34.25,-118.41,84.0,87.0,137500.0,1,19.0,91331,Pacoima,72872,31.92664743,3,0
11554,33.74,-117.99,741.0,739.0,240000.0,1,26.0,92683,Westminster,70715,46.12974096,3,0
7431,33.94,-118.2,163.0,179.0,154200.0,1,42.0,90280,South Gate,70212,32.36090168,3,0
7337,33.97,-118.15,373.0,361.0,158100.0,1,32.0,90201,Bell Gardens,67468,27.76684449,3,0
10879,33.71,-117.9,630.0,662.0,260500.0,1,16.0,92704,Santa Ana,67361,35.44105892,3,0
13410,34.08,-117.46,750.0,702.0,120700.0,0,18.0,92335,Fontana,65832,30.72390786,3,0
15924,37.72,-122.44,347.0,367.0,267200.0,3,52.0,94112,San Francisco,64941,51.31682623,3,0
4389,34.07,-118.26,813.0,765.0,170500.0,1,36.0,90026,Los Angeles,46916,44.94367373,3,0
4919,34.0,-118.25,267.0,229.0,105800.0,1,36.0,90011,Los Angeles,63123,23.58770112,3,0
14907,32.63,-117.05,861.0,843.0,160100.0,2,31.0,91910,Chula Vista,60383,49.83725654,3,0
20442,34.25,-118.78,237.0,231.0,404700.0,1,13.0,93065,Simi Valley,59551,75.81510834,3,0
6150,34.09,-117.96,613.0,573.0,160800.0,0,30.0,91706,Baldwin Park,57507,34.05670996,3,0
5161,33.95,-118.29,362.0,327.0,99300.0,1,35.0,90044,Los Angeles,56462,25.89513831,3,0
703,37.63,-122.04,236.0,249.0,241900.0,3,21.0,94544,Hayward,55190,46.4449093,3,0
7295,33.97,-118.21,537.0,510.0,171300.0,1,35.0,90255,Huntington Park,54716,28.03462302,3,0
7869,33.88,-118.13,1024.0,956.0,192700.0,1,32.0,90706,Bellflower,54431,41.90941568,3,0
1304,38.0,-121.83,1646.0,1458.0,103600.0,0,15.0,94565,Pittsburg,61968,46.47732198,3,0
11409,33.71,-117.94,602.0,572.0,276500.0,1,18.0,92708,Fountain Valley,46913,74.69966605,3,0
545,37.77,-122.27,388.0,434.0,372000.0,3,52.0,94501,Alameda,48387,76.52237988,3,0
7244,34.0,-118.1,591.0,539.0,169300.0,1,32.0,90640,Montebello,46577,42.23690773,3,0
4158,34.11,-118.19,348.0,315.0,150000.0,1,40.0,90042,Los Angeles,43949,43.79091928,3,0
15213,32.96,-117.12,559.0,512.0,156300.0,1,16.0,92129,San Diego,43907,97.22795426,3,0
4757,34.04,-118.34,607.0,565.0,139700.0,1,35.0,90019,Los Angeles,43752,45.14515679,3,0
16049,37.76,-122.48,616.0,602.0,348600.0,3,48.0,94122,San Francisco,46850,78.24240486,3,0
17697,37.28,-121.83,250.0,261.0,178600.0,1,33.0,95111,San Jose,43578,43.67204181,3,0
1719,37.98,-122.33,544.0,515.0,175000.0,3,3.0,94806,San Pablo,43290,44.07219069,3,0
7899,33.86,-118.05,626.0,603.0,265600.0,1,16.0,90703,Cerritos,44208,86.38199666,3,0
15338,33.2,-117.29,461.0,407.0,157300.0,2,16.0,92056,Oceanside,42843,58.41305025,3,0
19453,37.67,-120.95,584.0,538.0,137600.0,0,15.0,95355,Modesto,42666,58.83191401,3,0
13329,34.04,-117.67,501.0,535.0,162000.0,0,16.0,91762,Ontario,42661,38.68446055,3,0
10985,33.74,-117.82,680.0,631.0,137800.0,1,25.0,92780,Tustin,42492,53.30233448,3,0
17760,37.33,-121.83,610.0,604.0,173600.0,1,27.0,95122,San Jose,41936,36.26074018,3,0
5141,33.96,-118.27,295.0,292.0,86400.0,1,38.0,90003,Los Angeles,41878,23.638197100000003,3,0
6762,34.09,-118.13,1186.0,1102.0,188200.0,1,21.0,91801,Alhambra,41211,47.14704693,3,0
15103,32.85,-116.99,949.0,948.0,134200.0,1,32.0,92071,Santee,42808,60.51461754,3,0
14978,32.71,-116.99,582.0,585.0,113800.0,2,21.0,91977,Spring Valley,44239,46.14393881,3,0
6516,34.07,-118.01,1572.0,1456.0,182600.0,0,22.0,91732,El Monte,43596,32.15205645,3,0
13395,34.02,-117.58,1092.0,1042.0,174800.0,0,4.0,91761,Ontario,44442,46.18384314,3,0
18134,37.35,-122.03,514.0,507.0,352100.0,1,25.0,94087,Sunnyvale,46300,144.3002387,3,0
7150,34.02,-118.15,605.0,597.0,150600.0,1,43.0,90022,Los Angeles,46198,28.76626687,3,0
7656,33.82,-118.26,1074.0,1033.0,117400.0,1,28.0,90745,Carson,46022,46.08234851,3,0
20312,34.19,-119.17,508.0,437.0,175000.0,2,28.0,93030,Oxnard,45834,41.38895304,3,0
11140,33.84,-117.95,492.0,448.0,183700.0,1,32.0,92801,Anaheim,45683,36.91343669,3,0
712,37.67,-122.08,168.0,152.0,160000.0,3,29.0,94541,Hayward,44424,49.24736842,3,0
12912,38.62,-121.32,448.0,394.0,177900.0,0,29.0,95608,Carmichael,45450,70.92973172,3,0
14145,32.73,-117.08,643.0,622.0,122000.0,2,36.0,92105,San Diego,45433,29.72991087,3,0
1295,37.99,-121.81,445.0,437.0,170400.0,0,18.0,94509,Antioch,45524,46.91090377,3,0
17918,37.35,-121.98,249.0,260.0,261100.0,1,41.0,95051,Santa Clara,45397,96.20548872,3,0
6319,34.0,-117.97,375.0,367.0,179000.0,1,28.0,91745,Hacienda Heights,44875,60.72960289,3,0
10780,33.64,-117.91,472.0,436.0,268400.0,1,37.0,92627,Costa Mesa,44941,56.35102599,3,0
3766,34.17,-118.43,696.0,621.0,292900.0,1,32.0,91401,Van Nuys,28864,56.31460929,3,0
11258,33.81,-117.97,1081.0,1001.0,206300.0,1,26.0,92804,Anaheim,61315,40.05796301,3,1
12422,33.71,-116.23,1349.0,1243.0,90000.0,0,17.0,92201,Indio,41028,37.09974576,3,1
3639,34.22,-118.44,214.0,223.0,183800.0,1,41.0,91402,Panorama City,45198,31.08245997,3,1
4619,34.07,-118.31,949.0,894.0,305600.0,1,28.0,90004,Los Angeles,41632,60.28622076,3,1
8463,33.91,-118.34,1023.0,971.0,202100.0,1,17.0,90250,Hawthorne,68109,41.19822904,3,1
10261,33.88,-117.85,681.0,678.0,288500.0,1,14.0,92870,Placentia,41874,64.92248447,3,1
12992,38.69,-121.26,638.0,564.0,137000.0,0,17.0,95610,Citrus Heights,32886,45.71031589,3,1
948,37.71,-121.91,668.0,671.0,231800.0,1,25.0,94568,Dublin,34457,115.00527450000001,3,1
7989,33.86,-118.18,645.0,614.0,161300.0,1,43.0,90805,Long Beach,66158,34.31141692,3,1
14195,32.71,-117.05,608.0,592.0,119200.0,2,25.0,92114,San Diego,50254,39.66291946,3,1
3874,34.2,-118.54,349.0,366.0,201600.0,1,37.0,91335,Reseda,54011,40.80030303,3,1
8600,33.87,-118.37,148.0,141.0,304200.0,1,19.0,90278,Redondo Beach,33427,95.88312469,3,1
15063,32.79,-116.96,693.0,689.0,123800.0,1,19.0,92020,El Cajon,39637,51.21466942,3,1
12605,38.51,-121.49,169.0,128.0,152900.0,0,18.0,95822,Sacramento,31791,48.21696335,3,1
14918,32.61,-117.03,216.0,229.0,171300.0,2,23.0,91911,Chula Vista,66861,40.34433282,3,1
5444,34.0,-118.43,597.0,559.0,324000.0,1,30.0,90066,Los Angeles,43203,79.09861358,3,2
6417,34.15,-117.99,611.0,596.0,185600.0,0,44.0,91016,Monrovia,31187,64.51444386,3,2
